FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,age
Masaaki Satake,185.42,220 lbs.,,Orthodox,1965-08-17,
Takenori Sato,177.8,170 lbs.,,Southpaw,1985-06-08,1497.0
Takashi Sato,177.8,170 lbs.,73,Southpaw,1990-06-09,1507.0
Shogo Sato,170.18,170 lbs.,66,Southpaw,1993-06-08,
Uran Satybaldiev,193.04,205 lbs.,79,Orthodox,1994-08-10,1599.0
Jeimeson Saudino,167.64000000000001,135 lbs.,,,1991-03-05,
Tom Sauer,185.42,263 lbs.,,,1970-11-11,
Townsend Saunders,165.1,170 lbs.,,Orthodox,,
Ben Saunders,187.96,170 lbs.,77,Orthodox,1983-04-13,1365.0
Chad W. Saunders,177.8,170 lbs.,,Orthodox,,
Chris Saunders,172.72,155 lbs.,,,1986-03-11,1368.0
Christien Savoie,180.34,170 lbs.,72,Orthodox,1992-08-29,
Lumumba Sayers,182.88,185 lbs.,,,1978-06-30,
Matt Sayles,170.18,155 lbs.,68,Orthodox,1994-02-21,1314.0
Brandon Sayles,195.57999999999998,265 lbs.,,,1981-04-23,
Mikheil Sazhiniani,182.88,205 lbs.,71,Orthodox,1996-10-05,
Mark Scanlon,175.26,170 lbs.,,Orthodox,,
Eric Schafer,190.5,185 lbs.,76,Orthodox,1977-09-20,1527.0
Kerry Schall,187.96,265 lbs.,,Orthodox,1971-08-09,1786.0
Eric Schambari,180.34,185 lbs.,,Orthodox,1978-04-22,
Brendan Schaub,193.04,245 lbs.,78,Orthodox,1983-03-18,1394.0
Matheus Scheffel,187.96,205 lbs.,75,Orthodox,1992-11-04,
Antonio Schembri,175.26,205 lbs.,,Orthodox,1974-06-01,
Fabiano Scherner,190.5,257 lbs.,,Orthodox,1972-06-30,1735.0
Samy Schiavo,172.72,155 lbs.,,Orthodox,1975-12-24,1684.0
Pat Schilling,172.72,145 lbs.,,Orthodox,1988-08-28,1220.0
Joe Schilling,190.5,185 lbs.,,,,
Semmy Schilt,208.28,265 lbs.,,Orthodox,1973-10-27,1443.0
Adam Schindler,172.72,155 lbs.,,,1983-05-19,
Daniel Schmitt,,185 lbs.,,,,
Colleen Schneider,,135 lbs.,,,,
Matt Schnell,172.72,125 lbs.,70,Orthodox,1990-01-15,1402.0
Alex Schoenauer,190.5,185 lbs.,,Orthodox,1976-05-05,1509.0
Bailey Schoenfelder,190.5,265 lbs.,76,Orthodox,1997-09-22,
Darrill Schoonover,187.96,220 lbs.,,Orthodox,1985-07-18,1272.0
Bob Schrijber,182.88,240 lbs.,,Orthodox,,
Nate Schroeder,185.42,230 lbs.,,,,
Lacey Schuckman,160.02,125 lbs.,,,,
Mark Schultz,175.26,200 lbs.,,Orthodox,,
Wes Schultz,187.96,185 lbs.,77,Orthodox,1996-08-09,
Brian Schwartz,190.5,170 lbs.,,Orthodox,,
Eric Schwartz,,205 lbs.,,,,
Justin Scoggins,170.18,125 lbs.,66,Southpaw,1992-05-02,1126.0
Brad Scott,185.42,170 lbs.,76,Orthodox,1989-06-24,1224.0
Greg Scott,175.26,145 lbs.,,,,
Louis Lee Scott,172.72,135 lbs.,70,Orthodox,2000-02-26,
Zachary Scroggin,190.5,170 lbs.,74,Orthodox,1996-03-09,1496.0
Mike Seal,193.04,185 lbs.,,Orthodox,,
Demba Seck,185.42,145 lbs.,74,Orthodox,1993-07-07,
Matt Secor,182.88,170 lbs.,,,1986-09-26,
Kenneth Seegrist,182.88,185 lbs.,,Orthodox,,
Neil Seery,162.56,125 lbs.,64,Orthodox,1979-08-30,1801.0
Rony Sefo,175.26,225 lbs.,,Orthodox,,
Ray Sefo,182.88,240 lbs.,,Orthodox,1971-02-15,
Brendan Seguin,182.88,185 lbs.,,,1976-07-03,
Tetsuya Seki,177.8,155 lbs.,,,1994-02-08,
Stefan Sekulic,182.88,170 lbs.,75,Southpaw,1992-02-12,1387.0
Pete Sell,180.34,170 lbs.,75,Orthodox,1982-08-05,1200.0
Matthew Semelsberger,185.42,170 lbs.,75,Switch,1992-11-23,1447.0
Andrei Semenov,182.88,185 lbs.,,Orthodox,1977-06-17,1299.0
Mackens Semerzier,175.26,145 lbs.,72,Orthodox,1980-11-03,1585.0
Brandon Sene,180.34,205 lbs.,,,1981-05-21,
YeDam Seo,160.02,115 lbs.,63,Orthodox,1992-03-20,
DongHyun Seo,170.18,145 lbs.,67,Orthodox,1990-08-22,
Kim In Seok,167.64000000000001,145 lbs.,,Orthodox,,
Ray Seraille,190.5,246 lbs.,,,,
Ivan Serati,182.88,205 lbs.,,Orthodox,,
Alex Serdyukov,187.96,170 lbs.,74,Orthodox,1980-05-24,
Nicholas Sergiacomi,,170 lbs.,,,,
Matt Serra,167.64000000000001,170 lbs.,68,Orthodox,1974-06-02,1404.0
Nick Serra,175.26,170 lbs.,,Orthodox,1978-03-27,1264.0
Adrian Serrano,172.72,170 lbs.,,,1963-12-23,
Fredy Serrano,160.02,125 lbs.,65,Orthodox,1979-09-22,1852.0
Carl Seumanutafa,185.42,255 lbs.,,Orthodox,,
Igor Severino,170.18,125 lbs.,69,Orthodox,2003-04-21,1091.0
Dan Severn,187.96,250 lbs.,,Southpaw,1958-06-08,
Rosi Sexton,160.02,135 lbs.,,Orthodox,1977-07-16,1874.0
Rodrigo Sezinando,175.26,170 lbs.,71,Orthodox,1997-12-11,1448.0
Scott Shaffer,170.18,145 lbs.,,Orthodox,,
Edmen Shahbazyan,187.96,185 lbs.,75,Orthodox,1997-11-20,1097.0
Leon Shahbazyan,193.04,170 lbs.,74,Orthodox,1995-11-18,
Don Shainis,167.64000000000001,145 lbs.,67,Orthodox,1990-09-16,1671.0
Liliya Shakirova,162.56,125 lbs.,65,Orthodox,1991-10-24,1513.0
Kamal Shalorus,172.72,155 lbs.,68,Orthodox,1972-08-27,2011.0
Ken Shamrock,185.42,205 lbs.,72,Orthodox,1964-02-11,2023.0
Frank Shamrock,177.8,185 lbs.,,Orthodox,1972-12-08,
Shang Zhifa,170.18,125 lbs.,63,Orthodox,1986-03-15,
Sean Sharaf,190.5,252 lbs.,77,Orthodox,1993-07-11,1630.0
Priya Sharma,154.94,115 lbs.,59,Orthodox,1991-08-29,
Jason Sharp,,205 lbs.,,,,
Eric Shelton,167.64000000000001,125 lbs.,68,Orthodox,1991-02-02,1356.0
Sean Sherk,167.64000000000001,155 lbs.,67,Orthodox,1973-08-05,1550.0
Chase Sherman,193.04,250 lbs.,78,Orthodox,1989-11-16,1417.0
Valentina Shevchenko,165.1,125 lbs.,66,Southpaw,1988-03-07,1449.0
Antonina Shevchenko,172.72,125 lbs.,67,Southpaw,1984-11-20,1775.0
Shi Ming,157.48000000000002,115 lbs.,60,Orthodox,1994-11-14,1566.0
Katsuyori Shibata,182.88,168 lbs.,,Orthodox,1979-11-17,
Jake Shields,182.88,170 lbs.,72,Orthodox,1979-01-09,1685.0
Henrique Shiguemoto,180.34,185 lbs.,72,Orthodox,1989-06-22,
Shunichi Shimizu,165.1,135 lbs.,,Orthodox,1985-01-31,1509.0
Wade Shipp,190.5,245 lbs.,,Orthodox,1975-02-09,1520.0
Raja Shippen,167.64000000000001,145 lbs.,,,1986-10-07,
Yuya Shirai,172.72,168 lbs.,,Orthodox,1980-04-02,
Wes Shivers,203.2,--,,,,
Alexander Shlemenko,180.34,185 lbs.,,,1984-05-20,
Josh Shockley,185.42,155 lbs.,,Orthodox,1989-11-15,1282.0
Josh Shockman,193.04,235 lbs.,,Southpaw,1980-12-29,1350.0
Akira Shoji,172.72,195 lbs.,,Orthodox,1974-01-31,
Liudvik Sholinian,177.8,135 lbs.,71,Orthodox,1990-01-20,1650.0
Jack Shore,172.72,145 lbs.,71,Orthodox,1995-02-06,1365.0
Landon Showalter,182.88,185 lbs.,,,1976-06-14,
Ivan Shtyrkov,182.88,205 lbs.,74,Orthodox,1988-06-09,
Brandon Shuey,170.18,155 lbs.,,Orthodox,1976-02-01,
Ronal Siahaan,170.18,125 lbs.,71,Southpaw,1996-05-05,
Sam Sicilia,172.72,145 lbs.,67,Orthodox,1986-02-01,1373.0
Kiril Sidelnikov,180.34,230 lbs.,,,1988-08-17,
Serhiy Sidey,180.34,135 lbs.,72,Switch,1996-07-04,1504.0
Steven Siler,180.34,145 lbs.,70,Orthodox,1987-02-15,1306.0
Siala Siliga,185.42,290 lbs.,,Orthodox,1970-10-08,
Xavier Siller,165.1,125 lbs.,,,1994-06-06,
Assuerio Silva,177.8,241 lbs.,,Orthodox,1974-06-18,1647.0
Anderson Silva,187.96,185 lbs.,77,Southpaw,1975-04-14,2019.0
Wanderlei Silva,180.34,205 lbs.,74,Orthodox,1976-07-03,1643.0
Thiago Silva,187.96,205 lbs.,74,Orthodox,1982-11-12,1368.0
Paulo Cesar Silva,226.06,385 lbs.,,Orthodox,1963-07-21,
Edson Silva,,205 lbs.,,Orthodox,,
Sidney Silva,190.5,170 lbs.,,Southpaw,1972-02-27,
Jay Silva,187.96,185 lbs.,,Southpaw,,
Antonio Silva,193.04,264 lbs.,82,Orthodox,1979-09-14,1706.0
Fabio Silva,180.34,205 lbs.,,Orthodox,1982-03-31,
Erick Silva,182.88,170 lbs.,74,Orthodox,1984-06-21,1477.0
Leandro Silva,175.26,155 lbs.,72,Orthodox,1985-11-11,1438.0
Claudio Silva,180.34,170 lbs.,71,Southpaw,1982-09-06,1643.0
Wagner Silva,182.88,170 lbs.,,Orthodox,1987-02-07,1425.0
Rafael Silva,170.18,135 lbs.,,,1985-03-20,
Joaquim Silva,172.72,155 lbs.,69,Southpaw,1989-02-05,1477.0
Felipe Silva,182.88,155 lbs.,77,Orthodox,1984-05-08,1685.0
Dayana Silva,170.18,135 lbs.,,Orthodox,1990-08-27,
Bruno Fly Silva,162.56,125 lbs.,65,Orthodox,1990-03-16,1542.0
Bruno Middle Silva,182.88,185 lbs.,74,Orthodox,1989-07-13,
Gabriel Silva,167.64000000000001,135 lbs.,71,Orthodox,1994-08-26,1299.0
Jacob Silva,165.1,125 lbs.,67,Orthodox,1988-02-23,
Natalia Silva,162.56,125 lbs.,65,Southpaw,1997-02-03,1323.0
Jansey Silva,187.96,185 lbs.,67,Orthodox,1995-05-30,
Maria Silva,160.02,115 lbs.,64,Orthodox,1995-12-19,
Karine Silva,165.1,125 lbs.,67,Orthodox,1993-12-02,1586.0
Erik Silva,175.26,145 lbs.,71,Orthodox,1987-03-16,1864.0
Janaina Silva,154.94,115 lbs.,60,Orthodox,1992-02-16,
Jhonata Silva,165.1,125 lbs.,66,Orthodox,1997-04-24,
Jean Silva,170.18,145 lbs.,69,Orthodox,1996-12-27,1411.0
Danny Silva,180.34,145 lbs.,70,Switch,1997-01-30,1415.0
Frank Silva,,125 lbs.,,,2004-08-25,
Samuel Silva,182.88,155 lbs.,72,Orthodox,1996-01-02,
Douglas Silva de Andrade,170.18,135 lbs.,68,Orthodox,1985-06-22,1637.0
Leonardo Silva de Oliveira,187.96,185 lbs.,,Orthodox,1992-04-23,
Marcus Silveira,190.5,242 lbs.,,Orthodox,,
Elias Silverio,180.34,155 lbs.,73,Orthodox,1986-09-22,1406.0
Sim Kai Xiong,167.64000000000001,135 lbs.,67,Orthodox,1997-09-06,
Jamey Simmons,167.64000000000001,135 lbs.,70,Orthodox,1992-09-11,1469.0
Ricky Simon,167.64000000000001,135 lbs.,69,Orthodox,1992-08-31,1337.0
Aaron Simpson,182.88,170 lbs.,73,Orthodox,1974-07-20,1874.0
Wes Sims,208.28,260 lbs.,,Orthodox,1979-08-04,1243.0
Marlon Sims,,170 lbs.,,,,
Tony Sims,180.34,155 lbs.,70,Southpaw,1985-10-14,1549.0
Everett Sims,195.57999999999998,260 lbs.,77,Southpaw,1988-09-04,
Lodune Sincaid,175.26,185 lbs.,,Orthodox,1973-05-07,1665.0
Rob Sinclair,172.72,155 lbs.,,,1980-02-20,
Rory Singer,187.96,185 lbs.,77,Orthodox,1976-05-28,1596.0
Rana Rudra Pratap Singh,177.8,135 lbs.,69,Orthodox,1997-05-09,
Kiran Singh,154.94,115 lbs.,65,Orthodox,2000-07-25,
Elvis Sinosic,190.5,205 lbs.,77,Orthodox,1971-02-13,1584.0
Mitchell Sipe,187.96,245 lbs.,,Orthodox,1996-04-09,
Gian Siqueira,185.42,170 lbs.,74,Orthodox,1994-06-23,
Jeremia Siregar,157.48000000000002,125 lbs.,63,Orthodox,1991-07-27,
AJ Siscoe,170.18,135 lbs.,,,,
Yokthai Sithoar,170.18,143 lbs.,,,1974-12-25,
Jeri Sitzes,165.1,125 lbs.,,,,
Dennis Siver,167.64000000000001,145 lbs.,70,Orthodox,1979-01-13,1475.0
Chas Skelly,180.34,145 lbs.,72,Orthodox,1985-05-11,1510.0
Matt Skelton,190.5,265 lbs.,,Orthodox,1967-01-23,
Zach Skinner,167.64000000000001,145 lbs.,,Orthodox,,
Brian Sleeman,172.72,185 lbs.,,,,
Joe Slick,182.88,199 lbs.,,Orthodox,1977-10-17,
Ray Sloan,185.42,205 lbs.,,,1985-07-14,
Kestutis Smirnovas,177.8,200 lbs.,,Orthodox,,
Maurice Smith,187.96,221 lbs.,,Orthodox,1961-12-13,
Patrick Smith,187.96,225 lbs.,,Orthodox,1963-08-28,
Scott Smith,182.88,185 lbs.,70,Orthodox,1979-05-21,1403.0
Eric Smith,,--,,Southpaw,,
Josh Smith,182.88,155 lbs.,,Orthodox,1982-07-02,
David Smith,,155 lbs.,,,,
Adam Smith,,--,,,,
Dillon Smith,182.88,170 lbs.,,,,
Trevor Smith,190.5,185 lbs.,75,Orthodox,1981-01-05,1698.0
Anthony Smith,193.04,205 lbs.,76,Orthodox,1988-07-26,1297.0
Colton Smith,182.88,155 lbs.,71,Orthodox,1987-08-14,1322.0
Gilbert Smith,175.26,185 lbs.,,Southpaw,1981-10-19,1642.0
Leslie Smith,175.26,135 lbs.,66,Orthodox,1982-08-17,1652.0
Devonte Smith,175.26,155 lbs.,76,Orthodox,1993-07-30,1319.0
Cole Smith,180.34,135 lbs.,67,Orthodox,1989-04-05,1569.0
Nate Smith,167.64000000000001,125 lbs.,69,Switch,1995-04-09,
Braxton Smith,180.34,257 lbs.,72,Orthodox,1990-01-01,1739.0
Elijah Smith,175.26,135 lbs.,71,Orthodox,2002-09-05,1171.0
Jacobe Smith,177.8,170 lbs.,72,Southpaw,1996-01-17,1512.0
Walter Smith-Cotito,172.72,135 lbs.,,,,
Justin Smitley,,145 lbs.,,,,
Dmitrii Smoliakov,187.96,253 lbs.,74,Switch,1982-08-05,1772.0
Louis Smolka,175.26,135 lbs.,68,Orthodox,1991-07-16,1174.0
Cameron Smotherman,175.26,135 lbs.,69,Orthodox,1997-09-17,1413.0
Shimon Smotritsky,187.96,170 lbs.,74,Orthodox,2000-08-22,
Richie Smullen,175.26,155 lbs.,68,Orthodox,1991-08-17,1402.0
Devin Smyth,177.8,170 lbs.,72,Switch,1995-07-21,
Denis Sobolev,190.5,216 lbs.,,Orthodox,,
Peter Sobotta,182.88,170 lbs.,75,Southpaw,1987-01-11,1169.0
Renato Sobral,185.42,205 lbs.,75,Orthodox,1975-09-07,1374.0
Rameau Thierry Sokoudjou,177.8,205 lbs.,78,Orthodox,1984-04-18,1236.0
Axel Sola,187.96,170 lbs.,74,Southpaw,1997-09-17,1459.0
Alexander Soldatkin,187.96,250 lbs.,75,Orthodox,1993-06-10,
Joe Solecki,175.26,155 lbs.,70,Orthodox,1993-08-27,1408.0
Chris Solomon,180.34,155 lbs.,,,,
Joe Son,162.56,236 lbs.,,Orthodox,1970-11-22,
Paul Song,,185 lbs.,,,,
Song Kenan,182.88,170 lbs.,71,Orthodox,1990-03-10,1563.0
Song Yadong,172.72,135 lbs.,67,Orthodox,1997-12-02,1072.0
YoungJae Song,170.18,145 lbs.,70,Orthodox,1996-01-03,
Hyeonjong Song,,135 lbs.,,,2002-04-23,
Emrah Sonmez,177.8,145 lbs.,71,Orthodox,1992-06-26,
Chael Sonnen,185.42,205 lbs.,73,Southpaw,1977-04-03,1487.0
Cody Sons,175.26,205 lbs.,,,,
Jin Soo Son,167.64000000000001,135 lbs.,69,Orthodox,1993-04-01,1328.0
Benardo Sopaj,167.64000000000001,135 lbs.,66,Orthodox,2000-09-25,1222.0
Emiliano Sordi,187.96,205 lbs.,,Orthodox,1991-02-15,
Sean Soriano,175.26,145 lbs.,70,Orthodox,1989-10-06,1265.0
Punahele Soriano,180.34,170 lbs.,72,Southpaw,1992-11-22,1645.0
Hecher Sosa,175.26,135 lbs.,70,Orthodox,1995-08-25,
Dmitry Sosnovskiy,190.5,240 lbs.,77,Orthodox,1989-07-06,1497.0
Ben Sosoli,182.88,265 lbs.,72,Southpaw,1989-12-10,1557.0
Krzysztof Soszynski,185.42,205 lbs.,77,Open Stance,1977-08-02,1673.0
George Sotiropoulos,177.8,155 lbs.,71,Orthodox,1977-07-09,1587.0
Greg Soto,180.34,170 lbs.,73,Orthodox,1986-06-03,1242.0
Alex Soto,172.72,135 lbs.,,Southpaw,1984-02-15,1448.0
Joe Soto,167.64000000000001,135 lbs.,65,Orthodox,1987-03-22,1431.0
Mario Soto,182.88,145 lbs.,,,,
Andre Soukhamthath,175.26,135 lbs.,70,Orthodox,1988-10-23,1479.0
Mario Sousa,190.5,185 lbs.,79,Orthodox,1996-10-20,
Manoel Sousa,175.26,155 lbs.,70,Orthodox,1997-06-04,
Bobby Southworth,187.96,205 lbs.,,Orthodox,1969-12-16,1842.0
Jacare Souza,185.42,185 lbs.,72,Orthodox,1979-12-07,1760.0
Edimilson Souza,182.88,145 lbs.,74,Orthodox,1984-10-17,1507.0
Livinha Souza,160.02,115 lbs.,63,Orthodox,1991-03-11,1535.0
Bruno Souza,177.8,145 lbs.,70,Orthodox,1996-03-07,1339.0
Ketlen Souza,160.02,115 lbs.,63,Orthodox,1994-08-18,1502.0
Heraldo Souza,180.34,185 lbs.,73,Orthodox,1994-12-15,
Charon Spain,175.26,155 lbs.,,,1988-03-11,
Chris Spang,187.96,170 lbs.,,Orthodox,1987-11-26,1323.0
Andreas Spang,185.42,185 lbs.,,,1978-11-07,
Ryan Spann,195.57999999999998,205 lbs.,79,Orthodox,1991-08-24,1413.0
Ron Sparks,195.57999999999998,265 lbs.,,,,
Tommy Speer,177.8,170 lbs.,71,Orthodox,1984-08-20,1215.0
Patrick Speight,185.42,170 lbs.,,Orthodox,,
Sean Spencer,177.8,170 lbs.,74,Orthodox,1987-06-25,1335.0
Felicia Spencer,167.64000000000001,145 lbs.,68,Orthodox,1990-11-29,1485.0
Sam Spengler,180.34,185 lbs.,,Orthodox,,
Nick Sperling,,135 lbs.,,,,
Mario Sperry,187.96,205 lbs.,,Orthodox,1966-09-28,
Eric Spicely,185.42,185 lbs.,73,Orthodox,1986-09-29,1564.0
Waachiim Spiritwolf,172.72,170 lbs.,,,,
Daniel Spitz,200.66,245 lbs.,82,Orthodox,1990-07-31,1387.0
Serghei Spivac,190.5,260 lbs.,78,Orthodox,1995-01-24,1266.0
Daniel Spohn,193.04,205 lbs.,79,Southpaw,1984-10-12,1551.0
Pete Spratt,175.26,170 lbs.,,Orthodox,1971-01-09,1662.0
Austin Springer,172.72,145 lbs.,71,Orthodox,1987-05-12,1737.0
Georges St-Pierre,180.34,185 lbs.,76,Orthodox,1981-05-19,1222.0
Bobby Stack,175.26,155 lbs.,,Orthodox,,
Andreas Stahl,180.34,170 lbs.,,Orthodox,1988-05-20,1437.0
Ron Stallings,187.96,170 lbs.,75,Southpaw,1983-01-25,1668.0
Cody Stamann,167.64000000000001,135 lbs.,64,Orthodox,1989-11-09,1456.0
Cristina Stanciu,160.02,115 lbs.,,Orthodox,1994-03-29,1149.0
Brian Stann,185.42,205 lbs.,74,Orthodox,1980-09-24,1490.0
Josh Stansbury,187.96,205 lbs.,74,Orthodox,1984-11-19,1650.0
Dion Staring,185.42,235 lbs.,,Orthodox,1978-06-09,
Lucas Stark,,155 lbs.,,,,
Clifford Starks,182.88,185 lbs.,78,Orthodox,1981-04-25,1592.0
Kalib Starnes,190.5,185 lbs.,74,Orthodox,1975-01-06,1657.0
Laureano Staropoli,185.42,185 lbs.,71,Orthodox,1993-02-27,1367.0
Damian Stasiak,165.1,135 lbs.,70,Orthodox,1990-02-20,1363.0
Adam Steele,,170 lbs.,,,,
Dominique Steele,177.8,170 lbs.,74,Orthodox,1988-01-27,1434.0
Ricky Steele,175.26,135 lbs.,74,Orthodox,1988-05-26,
Kody Steele,175.26,155 lbs.,71,Orthodox,1995-04-21,1555.0
Eric Steenberg,,155 lbs.,,,1983-06-22,
Steve Steinbeiss,190.5,185 lbs.,75,Orthodox,1981-05-05,1480.0
Ray Steinbeiss,180.34,170 lbs.,,Orthodox,1979-09-12,
Dmitri Stepanov,190.5,217 lbs.,,Orthodox,,
Jeremy Stephens,175.26,155 lbs.,71,Orthodox,1986-05-25,1095.0
Aljamain Sterling,170.18,145 lbs.,71,Orthodox,1989-07-31,1281.0
Marc Stevens,175.26,155 lbs.,,,,
Joe Stevenson,170.18,145 lbs.,70,Orthodox,1982-06-15,1242.0
Maia Stevenson,162.56,115 lbs.,62,Orthodox,1982-03-19,1872.0
Luke Stewart,180.34,170 lbs.,,Orthodox,,
Darren Stewart,182.88,205 lbs.,74,Orthodox,1990-12-30,1350.0
Kyle Stewart,182.88,170 lbs.,76,Orthodox,1989-01-31,1590.0
Alex Stiebling,187.96,205 lbs.,,Southpaw,,
Tyler Stinson,190.5,170 lbs.,,,1986-01-17,
Navajo Stirling,193.04,205 lbs.,79,Orthodox,1997-11-07,1414.0
Dan Stittgen,185.42,170 lbs.,,Orthodox,1980-11-17,1651.0
Lazar Stojadinovic,170.18,145 lbs.,68,Southpaw,1989-03-22,
Denis Stojnic,182.88,245 lbs.,,Orthodox,1980-02-02,1514.0
Julija Stoliarenko,170.18,125 lbs.,66,Orthodox,1993-04-08,1426.0
Dustin Stoltzfus,182.88,185 lbs.,75,Orthodox,1991-11-15,1514.0
Niklas Stolze,185.42,155 lbs.,74,Switch,1992-12-28,1438.0
Ken Stone,172.72,135 lbs.,71,Southpaw,1982-10-08,1495.0
Ryan Stonitsch,175.26,170 lbs.,,Southpaw,1977-02-03,
George Stork,177.8,185 lbs.,,,,
Rick Story,175.26,170 lbs.,71,Southpaw,1984-08-28,1293.0
Darko Stosic,182.88,205 lbs.,76,Orthodox,1992-02-09,1380.0
Greg Stott,170.18,220 lbs.,,Southpaw,,
Curtis Stout,185.42,185 lbs.,,Southpaw,1973-11-07,1597.0
Sam Stout,175.26,155 lbs.,70,Orthodox,1984-04-23,1156.0
Tim Stout,180.34,185 lbs.,,,1979-02-09,
Jesse Strader,170.18,135 lbs.,70,Orthodox,1991-05-29,1555.0
Gennaro Strangis,,--,,,,
Dave Strasser,177.8,170 lbs.,,Orthodox,1969-07-13,1784.0
Daniel Straus,170.18,145 lbs.,71,,1984-07-27,
Gerald Strebendt,175.26,155 lbs.,,Orthodox,1979-03-01,1282.0
Sean Strickland,185.42,185 lbs.,76,Orthodox,1991-02-27,1202.0
Mark Striegl,172.72,145 lbs.,70,Southpaw,1988-06-23,1686.0
Hans Stringer,190.5,205 lbs.,,Orthodox,1987-07-06,1393.0
Stefan Struve,210.82,265 lbs.,84,Orthodox,1988-02-18,1096.0
Josh Stuart,175.26,160 lbs.,,,,
Mike Stumpf,177.8,170 lbs.,,,1986-08-01,1311.0
Kyle Sturgeon,190.5,225 lbs.,,Switch,,
Tatiana Suarez,165.1,115 lbs.,66,Southpaw,1990-12-19,1430.0
Masanori Suda,175.26,183 lbs.,,Orthodox,,
Genki Sudo,175.26,155 lbs.,,Orthodox,1978-03-08,1311.0
Lucasz Sudolski,193.04,205 lbs.,75,Orthodox,1993-06-15,
Daisuke Sugie,167.64000000000001,160 lbs.,,Orthodox,,
Takashi Sugiura,180.34,225 lbs.,,Southpaw,1970-05-31,
Naho Sugiyuma,154.94,105 lbs.,,,1978-02-03,
Sulangrangbo,175.26,135 lbs.,66,Southpaw,2005-07-17,
George Sullivan,182.88,170 lbs.,73,Orthodox,1981-03-13,1748.0
Amar Suloev,175.26,183 lbs.,,Orthodox,1976-07-01,1332.0
Magomed Sultanakhmedov,187.96,185 lbs.,,Southpaw,,
Justin Sumter,187.96,185 lbs.,80,Southpaw,1989-11-16,
Sumudaerji,172.72,125 lbs.,72,Southpaw,1996-01-20,1382.0
Rama Supandhi,165.1,125 lbs.,66,Southpaw,1991-11-07,
Aji Susilo,177.8,155 lbs.,,,,
Baisangur Susurkaev,187.96,185 lbs.,79,Orthodox,2001-01-08,1283.0
Louie Sutherland,190.5,264 lbs.,76,Orthodox,1994-02-08,
Jason Suttie,182.88,210 lbs.,,Orthodox,1973-08-07,
Joel Sutton,180.34,205 lbs.,,Orthodox,,
Chad Sutton,185.42,185 lbs.,,,1982-08-07,
Danilo Suzart,182.88,260 lbs.,,Orthodox,1991-12-04,
Martin Svensson,185.42,155 lbs.,,,1985-04-25,1609.0
Daniel Swain,175.26,145 lbs.,70,Orthodox,1991-01-30,
Cub Swanson,172.72,145 lbs.,70,Orthodox,1983-11-02,1494.0
Mike Swick,185.42,170 lbs.,77,Orthodox,1979-06-19,1450.0
Floyd Sword,182.88,185 lbs.,,Orthodox,1976-08-24,1608.0
Oumar Sy,193.04,205 lbs.,83,Orthodox,1995-11-21,1542.0
Klaudia Sygula,172.72,135 lbs.,69,Orthodox,1998-12-30,1349.0
Bentley Syler,162.56,125 lbs.,,Orthodox,1982-12-22,1682.0
Kevin Syler,175.26,155 lbs.,71,Switch,1993-07-29,
Leo Sylvest,180.34,205 lbs.,,Orthodox,1973-09-03,
Tony Sylvester,185.42,225 lbs.,,Southpaw,1978-01-27,
Tim Sylvia,203.2,265 lbs.,80,Orthodox,1976-03-05,1476.0
Kevin Szaflarski,195.57999999999998,260 lbs.,77,Orthodox,1994-12-30,
Sebastian Szalay,167.64000000000001,145 lbs.,66,Orthodox,1994-02-03,
Bartosz Szewczyk,193.04,205 lbs.,73,Orthodox,1997-09-18,
Osamu Tachihikari,195.57999999999998,300 lbs.,,Orthodox,,
Amber Tackett,,115 lbs.,,,,
Eugenio Tadeu,172.72,160 lbs.,,Orthodox,,
Albert Tadevosyan,,170 lbs.,,,1992-04-12,
Justin Tafa,182.88,264 lbs.,74,Southpaw,1993-12-13,1364.0
Junior Tafa,190.5,205 lbs.,75,Orthodox,1996-09-21,1387.0
Khalid Taha,165.1,135 lbs.,69,Orthodox,1992-02-15,1417.0
Joe Taimanglo,162.56,135 lbs.,,,1984-06-27,
Tatsuro Taira,170.18,125 lbs.,70,Orthodox,2000-01-27,1272.0
Mairbek Taisumov,175.26,155 lbs.,73,Orthodox,1988-08-08,1336.0
Taiyilake Nueraji,187.96,170 lbs.,75,Southpaw,2001-01-12,1284.0
Nobuhiko Takada,182.88,220 lbs.,,Southpaw,1962-04-12,
Yoshiki Takahashi,180.34,199 lbs.,,Southpaw,1969-03-13,
Yoko Takahashi,172.72,150 lbs.,,,1973-04-20,
Daiju Takase,182.88,170 lbs.,,Southpaw,1978-04-20,
Hiroyuki Takaya,167.64000000000001,139 lbs.,,Orthodox,1977-06-10,
Yoshihiro Takayama,195.57999999999998,280 lbs.,,Orthodox,1968-09-19,
Makoto Takimoto,170.18,205 lbs.,,Southpaw,1979-12-08,
Oleg Taktarov,182.88,210 lbs.,,Orthodox,1967-08-26,
Payton Talbott,177.8,135 lbs.,70,Switch,1998-09-09,1314.0
Nordine Taleb,185.42,170 lbs.,74,Orthodox,1981-06-10,1781.0
Murtaza Talha,182.88,205 lbs.,74,Orthodox,1996-07-10,
Tsuyoshi Tamakairiki,182.88,220 lbs.,,Orthodox,,
Eli Tamez,170.18,135 lbs.,,,1985-08-22,
Kiyoshi Tamura,180.34,185 lbs.,,Southpaw,1969-12-17,
